             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 

      4.6701000        0.000000          501.63          354.52         0.02500            4.04    1.000+0.000j
      4.6701000        0.010000          490.32          343.17         0.02448            4.15    1.000+0.000j
      4.6701000        0.020000          479.07          331.83         0.02407            4.23    1.000+0.000j
      4.6701000        0.030000          467.90          320.51         0.02338            4.37    1.000+0.000j
      4.6701000        0.040000          456.83          309.22         0.02280            4.50    1.001+0.000j
      4.6701000        0.050000          445.87          298.00         0.02217            4.65    1.002+0.000j
      4.6701000        0.060000          435.03          286.83         0.02154            4.79    1.020+0.000j
      4.6701000        0.070000          424.32          275.74         0.02091            4.93    9.996+0.000j
      4.6701000        0.080000          413.76          264.78         0.02026            5.07    9.984+0.000j
      4.6701000        0.090000          403.36          253.95         0.01957            5.23    9.670+0.000j
      4.6701000        0.100000          393.14          243.27         0.01886            5.39    9.928+0.000j
      4.6701000        0.110000          383.11          232.78         0.01814            5.55    9.871+0.000j
      4.6701000        0.120000          373.29          222.48         0.01740            5.71    9.668+0.000j
      4.6701000        0.130000          363.69          212.42         0.01665            5.87    9.732+0.000j
      4.6701000        0.140000          354.33          202.61         0.01587            6.05    9.899+0.000j
      4.6701000        0.150000          345.22          193.10         0.01510            6.20    9.995+0.000j
      4.6701000        0.160000          336.36          183.87         0.01430            6.37    9.986+0.000j
      4.6701000        0.170000          327.77          174.96         0.01349            6.53    9.827+0.000j
      4.6701000        0.180000          319.47          166.37         0.01269            6.68    9.970+0.000j
      4.6701000        0.190000          311.45          158.14         0.01182            6.84    9.974+0.000j
      4.6701000        0.200000          303.72          150.26         0.01097            6.98    9.948+0.000j
      4.6701000        0.210000          296.30          142.72         0.01012            7.12    9.792+0.000j
      4.6701000        0.220000          289.18          135.55         0.00912            7.27    9.975+0.000j
      4.6701000        0.230000          282.37          128.72         0.00818            7.40    9.995+0.000j
      4.6701000        0.240000          275.87          122.26         0.00717            7.52    9.947+0.000j
      4.6701000        0.250000          269.68          116.14         0.00608            7.64    9.995+0.000j
      4.6701000        0.260000          263.80          110.31         0.00467            7.76    9.424+0.000j
      4.6701000        0.270000          258.22          104.82         0.00259            7.89    9.620+0.000j
      4.6701000        0.280000          252.96           99.67         0.00011            7.94    1.012+0.000j
      4.6701000        0.290000          248.00           94.83         0.00004            7.92    4.152+0.000j
      4.6701000        0.300000          243.35           90.26         0.00004            7.90    1.038+0.000j
      4.6701000        0.310000          238.99           85.96         0.00000            7.89    9.968+0.000j
      4.6701000        0.320000          234.93           81.89         0.00001            7.88    8.217+0.000j
      4.6701000        0.330000          231.17           78.06         0.00001            7.86    1.295+0.000j
      4.6701000        0.340000          227.70           74.45         0.00000            7.85    1.032+0.000j
      4.6701000        0.350000          224.51           71.04         0.00000            7.84    1.164+0.000j
      4.6701000        0.360000          221.60           67.83         0.00001            7.84    3.123+0.000j
      4.6701000        0.370000          218.98           64.80         0.00000            7.83    1.237+0.000j
      4.6701000        0.380000          216.63           61.95         0.00002            7.82    6.348+0.000j
      4.6701000        0.390000          214.55           59.25         0.00002            7.82    2.648+0.000j
      4.6701000        0.400000          212.73           56.71         0.00000            7.81    9.445+0.000j
      4.6701000        0.410000          211.18           54.32         0.00001            7.81    1.675+0.000j
      4.6701000        0.420000          209.90           52.05         0.00001            7.81    1.375+0.000j
      4.6701000        0.430000          208.87           49.92         0.00000            7.81    2.303+0.000j
      4.6701000        0.440000          208.09           47.91         0.00000            7.81    8.187+0.000j
      4.6701000        0.450000          207.57           46.00         0.00001            7.81    5.587+0.000j
      4.6701000        0.460000          207.29           44.20         0.00000            7.81    2.075+0.000j
      4.6701000        0.470000          207.26           42.51         0.00000            7.81    1.019+0.000j
      4.6701000        0.480000          207.47           40.91         0.00001            7.81    9.996+0.000j
      4.6701000        0.490000          207.92           39.40         0.00000            7.82    9.945+0.000j
      4.6701000        0.500000          208.61           37.96         0.00000            7.82    3.323+0.000j
      4.6701000        0.510000          209.54           36.61         0.00000            7.83    1.815+0.000j
      4.6701000        0.520000          210.69           35.33         0.00000            7.84    6.939+0.000j
      4.6701000        0.530000          212.08           34.12         0.00001            7.84    1.045+0.000j
      4.6701000        0.540000          213.69           32.98             nan            7.85    3.856+0.000j
      4.6701000        0.550000          215.53           31.90         0.00000            7.86    5.986+0.000j
      4.6701000        0.560000          217.60           30.89         0.00000            7.88    1.478+0.000j
      4.6701000        0.570000          219.88           29.92         0.00000            7.89    1.016+0.000j
      4.6701000        0.580000          222.38           29.01         0.00000            7.90    4.390+0.000j
      4.6701000        0.590000          225.10           28.15         0.00000            7.92    7.350+0.000j
      4.6701000        0.600000          228.03           27.34         0.00000            7.93    1.354+0.000j
      4.6701000        0.610000          231.17           26.57         0.00001            7.95    1.781+0.000j
      4.6701000        0.620000          234.53           25.84         0.00000            7.97    1.789+0.000j
      4.6701000        0.630000          238.09           25.15         0.00001            7.99    1.015+0.000j
      4.6701000        0.640000          241.86           24.50         0.00000            8.01    1.865+0.000j
      4.6701000        0.650000          245.83           23.89         0.00000            8.04    9.812+0.000j
      4.6701000        0.660000          250.00           23.31         0.00000            8.06    2.073+0.000j
      4.6701000        0.670000          254.38           22.77         0.00000            8.08    9.986+0.000j
      4.6701000        0.680000          258.95           22.25         0.00001            8.11    1.301+0.000j
      4.6701000        0.690000          263.71           21.77         0.00000            8.14    1.182+0.000j
      4.6701000        0.700000          268.67           21.31         0.00000            8.17    1.283+0.000j
      4.6701000        0.710000          273.83           20.88         0.00000            8.20    6.589+0.000j
      4.6701000        0.720000          279.17           20.48         0.00000            8.23    8.368+0.000j
      4.6701000        0.730000          284.70           20.10         0.00000            8.27    9.462+0.000j
      4.6701000        0.740000          290.41           19.74             nan            8.30    6.387+0.000j
      4.6701000        0.750000          296.31           19.40         0.00003            8.34    9.996+0.000j
      4.6701000        0.760000          302.39           19.09         0.00001            8.38    3.345+0.000j
      4.6701000        0.770000          308.65           18.80             nan            8.42    1.628+0.000j
      4.6701000        0.780000          315.08           18.52         0.00000            8.46    1.684+0.000j
      4.6701000        0.790000          321.69           18.27         0.00000            8.50    1.015+0.000j
      4.6701000        0.800000          328.48           18.03         0.00000            8.54    2.058+0.000j
      4.6701000        0.810000          335.43           17.81         0.00000            8.59    9.516+0.000j
      4.6701000        0.820000          342.55           17.60         0.00001            8.63    8.854+0.000j
      4.6701000        0.830000          349.84           17.41         0.00000            8.68    3.182+0.000j
      4.6701000        0.840000          357.30           17.24         0.00001            8.73    1.537+0.000j
      4.6701000        0.850000          364.92           17.08         0.00000            8.79    1.517+0.000j
      4.6701000        0.860000          372.69           16.94         0.00000            8.84    9.975+0.000j
      4.6701000        0.870000          380.63           16.81         0.00000            8.89    8.321+0.000j
      4.6701000        0.880000          388.72           16.69         0.00000            8.95    1.448+0.000j
      4.6701000        0.890000          396.96           16.58         0.00000            9.00    6.780+0.000j
      4.6701000        0.900000          405.36           16.49         0.00000            9.06    4.362+0.000j
      4.6701000        0.910000          413.90           16.41         0.00001            9.12    1.014+0.000j
      4.6701000        0.920000          422.59           16.34             nan            9.18    8.210+0.000j
      4.6701000        0.930000          431.43           16.28         0.00000            9.25    1.323+0.000j
      4.6701000        0.940000          440.41           16.24         0.00000            9.31    9.922+0.000j
      4.6701000        0.950000          449.52           16.20         0.00000            9.37    1.907+0.000j
      4.6701000        0.960000          458.78           16.18         0.00000            9.43    9.820+0.000j
      4.6701000        0.970000          468.17           16.16         0.00000            9.51    2.444+0.000j
      4.6701000        0.980000          477.69           16.16         0.00001            9.57    9.977+0.000j
      4.6701000        0.990000          487.35           16.16         0.00000            9.64    1.020+0.000j
      4.6701020        0.000000          495.22          354.52         0.02550            3.95    1.000+0.000j
      4.6701020        0.010000          483.67          342.94         0.02497            4.05    1.001+0.000j
      4.6701020        0.020000          472.20          331.37         0.02443            4.16    1.000+0.000j
      4.6701020        0.030000          460.81          319.82         0.02385            4.29    1.000+0.000j
      4.6701020        0.040000          449.51          308.30         0.02326            4.42    1.002+0.000j
      4.6701020        0.050000          438.31          296.83         0.02263            4.55    1.000+0.000j
      4.6701020        0.060000          427.24          285.42         0.02199            4.69    1.004+0.000j
      4.6701020        0.070000          416.31          274.11         0.02138            4.83    1.000+0.000j
      4.6701020        0.080000          405.52          262.89         0.02071            4.97    9.905+0.000j
      4.6701020        0.090000          394.90          251.82         0.01996            5.15    9.919+0.000j
      4.6701020        0.100000          384.47          240.90         0.01927            5.29    9.908+0.000j
      4.6701020        0.110000          374.23          230.20         0.01851            5.47    9.966+0.000j
      4.6701020        0.120000          364.21          219.70         0.01778            5.63    9.908+0.000j
      4.6701020        0.130000          354.41          209.44         0.01702            5.80    9.932+0.000j
      4.6701020        0.140000          344.86          199.46         0.01625            5.97    9.963+0.000j
      4.6701020        0.150000          335.56          189.78         0.01547            6.13    9.933+0.000j
      4.6701020        0.160000          326.54          180.38         0.01466            6.30    9.928+0.000j
      4.6701020        0.170000          317.80          171.35         0.01385            6.47    9.871+0.000j
      4.6701020        0.180000          309.34          162.68         0.01306            6.61    9.993+0.000j
