             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub
      4.7400000        4.570000          148.00           20.66         0.00094           12.43           1.000           0.000           0.000          28.688           0.000           1.751          10.302           0.000           0.000           0.000           8.523           1.944           0.000           0.000           8.035           0.367          47.355
      4.7400000        4.577000          150.80           20.47         0.00097           12.68           1.000           0.000           0.000          28.732           0.000           1.757          10.302           0.000           0.000           0.000           8.628           1.967           0.000           0.000           8.115           0.398          49.459
      4.7400000        4.584000          153.71           20.29         0.00102           12.92           1.000           0.000           0.000          28.787           0.000           1.767          10.302           0.000           0.000           0.000           8.904           1.991           0.000           0.000           8.192           0.429          51.455
      4.7400000        4.591000          156.71           20.12         0.00106           13.20           1.000           0.000           0.000          28.844           0.000           1.775          10.302           0.000           0.000           0.000           9.083           2.017           0.000           0.000           8.281           0.465          53.504
      4.7400000        4.598000          159.81           19.96         0.00109           13.53           1.000           0.000           0.000          28.886           0.000           1.782          10.302           0.000           0.000           0.000           9.247           2.038           0.000           0.000           8.382           0.509          55.818
      4.7400000        4.605000          163.01           19.81         0.00114           13.77           1.000           0.000           0.000          28.944           0.000           1.791          10.302           0.000           0.000           0.000           9.483           2.063           0.000           0.000           8.453           0.540          58.003
      4.7400000        4.612000          166.30           19.66         0.00118           14.05           1.000           0.000           0.000          29.005           0.000           1.801          10.302           0.000           0.000           0.000           9.750           2.089           0.000           0.000           8.534           0.578          60.197
      4.7400000        4.619000          169.70           19.53         0.00124           14.34           1.000           0.000           0.000          29.079           0.000           1.814          10.302           0.000           0.000           0.000          10.147           2.117           0.000           0.000           8.620           0.618          62.219
      4.7400000        4.626000          173.20           19.40         0.00125           14.67           1.000           0.000           0.000          29.107           0.000           1.814          10.302           0.000           0.000           0.000           9.947           2.138           0.000           0.000           8.712           0.663          65.217
      4.7400000        4.633000          176.79           19.28         0.00131           15.05           1.000           0.000           0.000          29.188           0.000           1.828          10.302           0.000           0.000           0.000          10.383           2.167           0.000           0.000           8.819           0.716          67.226
      4.7400000        4.640000          180.49           19.18         0.00136           15.22           1.000           0.000           0.000          29.262           0.000           1.841          10.302           0.000           0.000           0.000          10.776           2.195           0.000           0.000           8.866           0.741          69.504
      4.7400000        4.647000          184.30           19.08         0.00138           15.57           1.000           0.000           0.000          29.309           0.000           1.845          10.302           0.000           0.000           0.000          10.742           2.219           0.000           0.000           8.960           0.790          72.403
      4.7400000        4.654000          188.20           19.00         0.00143           15.80           1.000           0.000           0.000          29.404           0.000           1.859          10.302           0.000           0.000           0.000          11.080           2.254           0.000           0.000           9.019           0.822          74.492
      4.7400000        4.661000          192.21           18.91         0.00147           16.18           1.000           0.000           0.000          29.459           0.000           1.869          10.302           0.000           0.000           0.000          11.354           2.277           0.000           0.000           9.120           0.877          77.273
      4.7400000        4.668000          196.31           18.84         0.00153           16.44           1.000           0.000           0.000          29.541           0.000           1.883          10.302           0.000           0.000           0.000          11.761           2.307           0.000           0.000           9.186           0.915          79.676
      4.7400000        4.675000          200.52           18.78         0.00156           16.75           1.000           0.000           0.000          29.609           0.000           1.891          10.302           0.000           0.000           0.000          11.885           2.335           0.000           0.000           9.266           0.961          82.500
      4.7400000        4.682000          204.84           18.72         0.00160           17.11           1.000           0.000           0.000          29.683           0.000           1.901          10.302           0.000           0.000           0.000          12.102           2.364           0.000           0.000           9.355           1.013          85.244
      4.7400000        4.689000          209.26           18.68         0.00164           17.40           1.000           0.000           0.000          29.767           0.000           1.913          10.302           0.000           0.000           0.000          12.369           2.395           0.000           0.000           9.428           1.057          87.890
      4.7400000        4.696000          213.77           18.64         0.00171           17.65           1.000           0.000           0.000          29.861           0.000           1.931          10.302           0.000           0.000           0.000          12.954           2.427           0.000           0.000           9.488           1.094          90.269
      4.7400000        4.703000          218.40           18.61         0.00173           18.04           1.000           0.000           0.000          29.928           0.000           1.937          10.302           0.000           0.000           0.000          12.940           2.455           0.000           0.000           9.583           1.153          93.472
      4.7400000        4.710000          223.13           18.59         0.00178           18.34           1.000           0.000           0.000          30.015           0.000           1.950          10.302           0.000           0.000           0.000          13.250           2.487           0.000           0.000           9.654           1.198          96.263
      4.7400000        4.717000          227.96           18.58         0.00181           18.70           1.000           0.000           0.000          30.094           0.000           1.959          10.302           0.000           0.000           0.000          13.368           2.517           0.000           0.000           9.738           1.252          99.371
      4.7400000        4.724000          232.88           18.58         0.00188           18.97           1.000           0.000           0.000          30.206           0.000           1.981          10.302           0.000           0.000           0.000          14.085           2.552           0.000           0.000           9.800           1.294         101.586
      4.7400000        4.731000          237.91           18.59         0.00192           19.21           1.000           0.000           0.000          30.296           0.000           1.993          10.302           0.000           0.000           0.000          14.333           2.585           0.000           0.000           9.853           1.330         104.583
      4.7400000        4.738000          243.05           18.61         0.00198           19.44           1.000           0.000           0.000          30.399           0.000           2.010          10.302           0.000           0.000           0.000          14.782           2.619           0.000           0.000           9.904           1.366         107.261
      4.7400000        4.745000          248.28           18.63         0.00203           19.72           1.000           0.000           0.000          30.498           0.000           2.026          10.302           0.000           0.000           0.000          15.212           2.652           0.000           0.000           9.968           1.410         110.110
      4.7400000        4.752000          253.62           18.66         0.00205           20.13           1.000           0.000           0.000          30.579           0.000           2.031          10.302           0.000           0.000           0.000          15.035           2.685           0.000           0.000          10.059           1.472         113.697
      4.7400000        4.759000          259.05           18.71         0.00213           20.19           1.000           0.000           0.000          30.704           0.000           2.059          10.302           0.000           0.000           0.000          16.015           2.721           0.000           0.000          10.070           1.483         115.843
      4.7400000        4.766000          264.59           18.76         0.00214           20.68           1.000           0.000           0.000          30.775           0.000           2.061          10.302           0.000           0.000           0.000          15.720           2.751           0.000           0.000          10.178           1.558         119.875
      4.7400000        4.773000          270.22           18.82         0.00219           20.96           1.000           0.000           0.000          30.885           0.000           2.076          10.302           0.000           0.000           0.000          16.027           2.787           0.000           0.000          10.238           1.602         122.835
      4.7400000        4.780000          275.94           18.89         0.00227           21.02           1.000           0.000           0.000          31.026           0.000           2.106          10.302           0.000           0.000           0.000          16.977           2.828           0.000           0.000          10.248           1.613         124.802
      4.7400000        4.787000          281.77           18.97         0.00229           21.43           1.000           0.000           0.000          31.108           0.000           2.108          10.302           0.000           0.000           0.000          16.672           2.861           0.000           0.000          10.336           1.677         128.862
      4.7400000        4.794000          287.69           19.05         0.00234           21.76           1.000           0.000           0.000          31.206           0.000           2.124          10.302           0.000           0.000           0.000          17.079           2.892           0.000           0.000          10.406           1.729         132.215
      4.7400000        4.801000          293.69           19.15         0.00240           21.93           1.000           0.000           0.000          31.336           0.000           2.148          10.302           0.000           0.000           0.000          17.688           2.932           0.000           0.000          10.439           1.757         134.768
      4.7400000        4.808000          299.80           19.25         0.00244           22.18           1.000           0.000           0.000          31.441           0.000           2.163          10.302           0.000           0.000           0.000          17.972           2.966           0.000           0.000          10.490           1.797         138.190
      4.7400000        4.815000          305.99           19.37         0.00250           22.39           1.000           0.000           0.000          31.563           0.000           2.184          10.302           0.000           0.000           0.000          18.464           3.003           0.000           0.000          10.532           1.831         141.120
      4.7400000        4.822000          312.28           19.49         0.00255           22.59           1.000           0.000           0.000          31.689           0.000           2.205          10.302           0.000           0.000           0.000          18.977           3.041           0.000           0.000          10.570           1.862         144.008
      4.7400000        4.829000          318.68           19.64         0.00265           22.46           1.000           0.000           0.000          31.859           0.000           2.250          10.302           0.000           0.000           0.000          20.464           3.085           0.000           0.000          10.538           1.844         145.223
      4.7400000        4.836000          325.12           19.77         0.00265           23.04           1.000           0.000           0.000          31.928           0.000           2.241          10.302           0.000           0.000           0.000          19.611           3.115           0.000           0.000          10.659           1.936         150.535
      4.7400000        4.843000          331.66           19.92         0.00271           23.13           1.000           0.000           0.000          32.057           0.000           2.266          10.302           0.000           0.000           0.000          20.263           3.153           0.000           0.000          10.674           1.952         153.420
      4.7400000        4.850000          338.37           20.07         0.00270           23.80           1.000           0.000           0.000          32.128           0.000           2.253          10.302           0.000           0.000           0.000          19.211           3.185           0.000           0.000          10.811           2.057         159.057
      4.7400000        4.857000          345.02           20.25         0.00279           23.64           1.000           0.000           0.000          32.303           0.000           2.297          10.302           0.000           0.000           0.000          20.627           3.229           0.000           0.000          10.773           2.034         160.310
      4.7400000        4.864000          351.83           20.42         0.00284           23.87           1.000           0.000           0.000          32.424           0.000           2.313          10.302           0.000           0.000           0.000          20.781           3.267           0.000           0.000          10.817           2.072         163.937
      4.7400000        4.871000          358.71           20.61         0.00289           24.03           1.000           0.000           0.000          32.557           0.000           2.334          10.302           0.000           0.000           0.000          21.187           3.306           0.000           0.000          10.845           2.098         167.126
      4.7400000        4.878000          365.66           20.81         0.00295           24.35           1.000           0.000           0.000          32.692           0.000           2.360          10.302           0.000           0.000           0.000          21.778           3.343           0.000           0.000          10.908           2.150         170.102
      4.7400000        4.885000          372.68           21.04         0.00305           23.83           1.000           0.000           0.000          32.891           0.000           2.416          10.302           0.000           0.000           0.000          23.504           3.391           0.000           0.000          10.795           2.070         170.619
      4.7400000        4.892000          379.78           21.25         0.00308           23.98           1.000           0.000           0.000          33.009           0.000           2.426          10.302           0.000           0.000           0.000          23.400           3.428           0.000           0.000          10.820           2.094         174.746
      4.7400000        4.899000          386.97           21.49         0.00316           24.01           1.000           0.000           0.000          33.177           0.000           2.467          10.302           0.000           0.000           0.000          24.518           3.471           0.000           0.000          10.821           2.100         176.532
      4.7400000        4.906000          394.61           21.68         0.00304           25.59           1.000           0.000           0.000          33.143           0.000           2.378          10.302           0.000           0.000           0.000          20.416           3.492           0.000           0.000          11.144           2.352         188.529
      4.7400000        4.913000          401.56           21.95         0.00320           24.83           1.000           0.000           0.000          33.403           0.000           2.470          10.302           0.000           0.000           0.000          23.455           3.545           0.000           0.000          10.982           2.233         186.053
      4.7400000        4.920000          409.01           22.18         0.00322           25.82           1.000           0.000           0.000          33.571           0.000           2.479          10.302           0.000           0.000           0.000          22.924           3.594           0.000           0.000          11.181           2.392         189.160
      4.7400000        4.927000          416.56           22.52         0.00335           23.68           1.000           0.000           0.000          33.997           0.000           2.568          10.302           0.000           0.000           0.000          24.498           3.692           0.000           0.000          10.738           2.054         183.596
      4.7400000        4.934000          424.11           22.79         0.00333           24.17           1.000           0.000           0.000          34.053           0.000           2.538          10.302           0.000           0.000           0.000          22.938           3.720           0.000           0.000          10.836           2.133         191.249
      4.7400000        4.941000          432.36           22.98         0.00324           27.26           1.000           0.000           0.000          33.940           0.000           2.457          10.302           0.000           0.000           0.000          20.188           3.715           0.000           0.000          11.455           2.627         204.940
