      4.7697030        4.360000          101.84            5.12         0.00682           38.45           5.744           0.000           0.000          26.142           0.000           1.653          10.302           0.000           0.000           0.000           4.977           0.000           0.000           0.000           0.603           7.907          61.069
      4.7697030        4.367000           99.32            4.82         0.00683           38.06           5.185           0.000           0.000          26.078           0.000           1.653          10.302           0.000           0.000           0.000           4.928           0.000           0.000           0.000           0.618           7.819          59.264
      4.7697030        4.374000           96.75            4.53         0.00632           37.68           7.746         881.471           1.915          26.220           0.000           1.653          10.302           0.000           0.000           0.000           4.911           0.000           0.000           0.000           0.649           7.733          57.396
      4.7697030        4.381000           94.28            4.24         0.00687           37.10           4.704           0.000           0.000          25.971           0.000           1.653          10.302           0.000           0.000           0.000           4.912           0.000           0.000           0.000           0.652           7.605          55.515
      4.7697030        4.388000           91.81            3.97         0.00704           36.38           3.676           0.000           0.000          25.823           0.000           1.653          10.302           0.000           0.000           0.000           4.905           0.000           0.000           0.000           0.673           7.445          53.675
      4.7697030        4.395000           89.23            3.72         0.00596           36.25           8.444         881.553           1.538          26.163           0.000           1.653          10.302           0.000           0.000           0.000           4.869           0.000           0.000           0.000           0.718           7.411          51.779
      4.7697030        4.402000           86.80            3.47         0.00684           35.52           4.308           0.000           0.000          25.855           0.000           1.653          10.302           0.000           0.000           0.000           4.858           0.000           0.000           0.000           0.716           7.251          49.930
      4.7697030        4.409000           84.33            3.24         0.00686           34.98           4.098           0.000           0.000          25.806           0.000           1.653          10.302           0.000           0.000           0.000           4.847           0.000           0.000           0.000           0.738           7.130          48.051
      4.7697030        4.416000           81.90            3.02         0.00295           35.02           9.277           0.000           0.000          26.104           0.000           1.653          10.302           0.000           0.000           0.000           4.805           0.000           0.000           0.000           0.851           7.120          46.150
      4.7697030        4.423000           79.39            2.82         0.00525           34.94           9.870           0.000           0.000          26.096           0.000           1.653          10.302           0.000           0.000           0.000           4.814           0.000           0.000           0.000           0.796           7.111          44.126
      4.7697030        4.430000           77.04            2.61         0.00613           33.82           3.889           0.000           0.000          25.791           0.000           1.653          10.302           0.000           0.000           0.000           4.753           0.000           0.000           0.000           0.817           6.863          42.439
      4.7697030        4.437000           74.54            2.42         0.00623           32.78           7.686           0.000           0.000          25.984           0.000           1.653          10.302           0.000           0.000           0.000           4.753           0.000           0.000           0.000           0.862           6.628          40.644
      4.7697030        4.444000           72.20            2.23         0.00657           32.07           4.499           0.000           0.000          25.754           0.000           1.653          10.302           0.000           0.000           0.000           4.736           0.000           0.000           0.000           0.882           6.470          38.813
      4.7697030        4.451000           69.85            2.06         0.00668           31.35           3.780           0.000           0.000          25.661           0.000           1.653          10.302           0.000           0.000           0.000           4.714           0.000           0.000           0.000           0.913           6.307          37.002
      4.7697030        4.458000           67.47            1.91         0.00610           31.08           7.431           0.000           0.000          25.912           0.000           1.653          10.302           0.000           0.000           0.000           4.695           0.000           0.000           0.000           0.951           6.243          35.116
      4.7697030        4.465000           65.18            1.75         0.00647           30.19           4.701           0.000           0.000          25.713           0.000           1.653          10.302           0.000           0.000           0.000           4.696           0.000           0.000           0.000           0.983           6.043          33.317
      4.7697030        4.472000           62.88            1.61         0.00621           29.74           5.885           0.000           0.000          25.800           0.000           1.653          10.302           0.000           0.000           0.000           4.632           0.000           0.000           0.000           1.019           5.938          31.561
      4.7697030        4.479000           60.66            1.47         0.00655           28.69           3.483           0.000           0.000          25.576           0.000           1.653          10.302           0.000           0.000           0.000           4.612           0.000           0.000           0.000           1.063           5.699          29.856
      4.7697030        4.486000           58.52            1.35         0.00004           28.59           1.133           0.000           0.000          25.912           0.000           1.653          10.302           0.000           0.000           0.000           4.577           0.000           0.000           0.000           1.227           5.646          28.061
      4.7697030        4.493000           56.29            1.22         0.00680           27.14           2.203           0.000           0.000          25.350           0.000           1.653          10.302           0.000           0.000           0.000           4.553           0.000           0.000           0.000           1.144           5.345          26.429
      4.7697030        4.500000           54.11            1.12         0.00644           26.71           2.999           0.000           0.000          25.491           0.000           1.653          10.302           0.000           0.000           0.000           4.542           0.000           0.000           0.000           1.189           5.244          24.658
      4.7697030        4.507000           51.97            1.01         0.00611           25.67           5.040           0.000           0.000          25.673           0.000           1.653          10.302           0.000           0.000           0.000           4.534           0.000           0.000           0.000           1.274           5.000          23.025
      4.7697030        4.514000           49.95            0.91         0.00674           24.82           1.981           0.000           0.000          25.285           0.000           1.653          10.302           0.000           0.000           0.000           4.471           0.000           0.000           0.000           1.302           4.808          21.455
