             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub
      4.6701000        0.310000          256.26           86.27         0.02813            2.54           6.855           0.000           0.000           7.051           0.000           1.528          10.312           0.000           0.000           0.000           0.000           2.773           0.000           0.000           1.596           0.010           1.285
      4.6701000        0.320000          251.60           82.70         0.02813            2.55           9.816           0.000           0.000           6.449           0.000           1.528          10.311           0.000           0.000           0.000           0.000           2.779           0.000           0.000           1.598           0.010           0.807
      4.6701000        0.330000          247.30           78.87         0.02813            2.60           7.476           0.000           0.000           5.911           0.000           1.527          10.312           0.000           0.000           0.000           0.000           2.791           0.000           0.000           1.630           0.015           0.491
      4.6701000        0.340000          243.34           75.10         0.02813            2.65           3.519           0.000           0.000           5.421           0.000           1.539          10.312           0.000           0.000           0.000           0.000           2.807           0.000           0.000           1.658           0.020           0.263
      4.6701000        0.350000          239.68           71.75         0.02813            2.66           5.273           0.000           0.000           4.956           0.000           1.531          10.313           0.000           0.000           0.000           0.000           2.820           0.000           0.000           1.663           0.021           0.090
      4.6701000        0.360000          236.35           68.47         0.02813            2.69           8.968           0.000           0.000           4.531           0.000           1.527          10.312           0.000           0.000           0.000           0.000           2.835           0.000           0.000           1.677           0.024           0.009
      4.6701000        0.370000          233.32           65.43         0.02813            2.72           8.510           0.000           0.000           4.135           0.000           1.527          10.313           0.000           0.000           0.000           0.000           2.849           0.000           0.000           1.694           0.028           0.015
      4.6701000        0.380000          230.61           62.60         0.02813            2.82           5.032           0.000           0.000           3.766           0.000           1.532          10.314           0.000           0.000           0.000           0.000           2.861           0.000           0.000           1.740           0.040           0.121
      4.6701000        0.390000          228.20           59.59         0.02814            2.77           3.324           0.000           0.000           3.441           0.000           1.541          10.313           0.000           0.000           0.000           0.000           2.881           0.000           0.000           1.717           0.034           0.295
      4.6701000        0.400000          226.06           57.22         0.02813            2.74           6.311           0.000           0.000           3.120           0.000           1.529          10.314           0.000           0.000           0.000           0.000           2.893           0.000           0.000           1.703           0.031           0.623
      4.6701000        0.410000          224.22           54.76         0.02814            2.81           7.571           0.000           0.000           2.833           0.000           1.527          10.314           0.000           0.000           0.000           0.000           2.908           0.000           0.000           1.733           0.039           1.033
      4.6701000        0.420000          222.67           52.45         0.02814            2.87           8.844           0.000           0.000           2.567           0.000           1.527          10.314           0.000           0.000           0.000           0.000           2.923           0.000           0.000           1.759           0.047           1.557
      4.6701000        0.430000          221.40           50.31         0.02814            2.90           4.444           0.000           0.000           2.321           0.000           1.534          10.315           0.000           0.000           0.000           0.000           2.939           0.000           0.000           1.771           0.051           2.207
      4.6701000        0.440000          220.39           48.16         0.02814            2.93           9.541           0.000           0.000           2.100           0.000           1.528          10.314           0.000           0.000           0.000           0.000           2.956           0.000           0.000           1.787           0.056           2.934
      4.6701000        0.450000          219.66           46.30         0.02814            2.99           5.361           0.000           0.000           1.890           0.000           1.531          10.316           0.000           0.000           0.000           0.000           2.970           0.000           0.000           1.810           0.063           3.843
      4.6701000        0.460000          219.23           44.61         0.02814            3.02           1.251           0.000           0.000           1.695           0.000           1.567          10.313           0.000           0.000           0.000           0.000           2.984           0.000           0.000           1.821           0.068           4.921
      4.6701000        0.470000          219.00           42.76         0.02814            3.03           3.062           0.000           0.000           1.525           0.000           1.543          10.316           0.000           0.000           0.000           0.000           3.003           0.000           0.000           1.825           0.070           6.000
      4.6701000        0.480000          219.04           41.14         0.02814            3.07           7.380           0.000           0.000           1.365           0.000           1.527          10.317           0.000           0.000           0.000           0.000           3.019           0.000           0.000           1.837           0.075           7.274
      4.6701000        0.490000          219.35           39.59         0.02814            3.13           9.424           0.000           0.000           1.219           0.000           1.528          10.316           0.000           0.000           0.000           0.000           3.036           0.000           0.000           1.860           0.083           8.673
      4.6701000        0.500000          219.61           40.99         0.02815            3.48           2.803           0.000           0.000           0.000           0.000           1.545          10.316           0.000           0.000           0.000           0.000           2.987           0.000           0.000           1.979           0.133          12.433
      4.6701000        0.510000          219.76           36.41         0.02814            3.17           2.369           0.000           0.000           0.000           0.000           1.549          10.316           0.000           0.000           0.000           0.000           3.078           0.000           0.000           1.874           0.089          11.598
      4.6701000        0.520000          220.91           35.31         0.02814            3.23           4.097           0.000           0.000           0.000           0.000           1.536          10.318           0.000           0.000           0.000           0.000           3.091           0.000           0.000           1.893           0.098          13.556
      4.6701000        0.530000          222.29           34.00         0.02814            3.24           6.104           0.000           0.000           0.000           0.000           1.529          10.318           0.000           0.000           0.000           0.000           3.111           0.000           0.000           1.896           0.100          15.418
      4.6701000        0.540000          223.90           32.82         0.02814            3.27           8.812           0.000           0.000           0.000           0.000           1.527          10.318           0.000           0.000           0.000           0.000           3.130           0.000           0.000           1.907           0.105          17.460
      4.6701000        0.550000          225.74           31.79         0.02814            3.37           9.914           0.000           0.000           0.000           0.000           1.528          10.317           0.000           0.000           0.000           0.000           3.146           0.000           0.000           1.939           0.119          19.742
      4.6701000        0.560000          227.81           30.81         0.02814            3.41           8.950           0.000           0.000           0.000           0.000           1.527          10.318           0.000           0.000           0.000           0.000           3.163           0.000           0.000           1.950           0.125          22.167
      4.6701000        0.570000          230.09           29.90         0.02815            3.47           9.420           0.000           0.000           0.000           0.000           1.528          10.318           0.000           0.000           0.000           0.000           3.181           0.000           0.000           1.971           0.135          24.746
      4.6701000        0.580000          232.60           28.95         0.02815            3.50           4.138           0.000           0.000           0.000           0.000           1.536          10.319           0.000           0.000           0.000           0.000           3.200           0.000           0.000           1.979           0.140          27.360
      4.6701000        0.590000          235.32           27.95         0.02815            3.58           5.134           0.000           0.000           0.000           0.000           1.532          10.320           0.000           0.000           0.000           0.000           3.223           0.000           0.000           2.002           0.152          29.956
      4.6701000        0.600000          238.26           27.29         0.02815            3.62           4.423           0.000           0.000           0.000           0.000           1.535          10.320           0.000           0.000           0.000           0.000           3.238           0.000           0.000           2.012           0.158          33.134
      4.6701000        0.610000          241.39           26.50         0.02815            3.69           8.516           0.000           0.000           0.000           0.000           1.527          10.320           0.000           0.000           0.000           0.000           3.258           0.000           0.000           2.033           0.169          36.195
      4.6701000        0.620000          244.75           25.79         0.02814            3.73           6.850           0.000           0.000           0.000           0.000           1.528          10.321           0.000           0.000           0.000           0.000           3.278           0.000           0.000           2.044           0.175          39.448
      4.6701000        0.630000          248.32           25.11         0.02815            3.79           6.712           0.000           0.000           0.000           0.000           1.528          10.321           0.000           0.000           0.000           0.000           3.297           0.000           0.000           2.059           0.185          42.841
      4.6701000        0.640000          252.08           24.41         0.02815            3.89           9.883           0.000           0.000           0.000           0.000           1.528          10.320           0.000           0.000           0.000           0.000           3.318           0.000           0.000           2.088           0.201          46.262
      4.6701000        0.650000          256.06           23.74         0.02815            3.89           8.996           0.000           0.000           0.000           0.000           1.528          10.321           0.000           0.000           0.000           0.000           3.342           0.000           0.000           2.085           0.201          49.782
      4.6701000        0.660000          260.23           23.28         0.02815            3.97           8.200           0.000           0.000           0.000           0.000           1.527          10.321           0.000           0.000           0.000           0.000           3.359           0.000           0.000           2.106           0.214          53.824
      4.6701000        0.670000          264.61           22.78         0.02815            4.05           9.839           0.000           0.000           0.000           0.000           1.528          10.320           0.000           0.000           0.000           0.000           3.378           0.000           0.000           2.128           0.228          57.878
