             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub
      4.6701000        0.310000          260.80           86.90         0.00064            7.87           2.533           0.000           0.000           7.052           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.782           0.000           0.000           5.010           0.201           1.142
      4.6701000        0.320000          256.18           83.22         0.00016            7.86           1.110           0.000           0.000           6.454           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.790           0.000           0.000           5.055           0.186           0.710
      4.6701000        0.330000          251.89           79.31         0.00000            7.85           3.065           0.000           0.000           5.921           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.804           0.000           0.000           5.088           0.175           0.427
      4.6701000        0.340000          247.94           75.63         0.00021            7.84           9.318           0.000           0.000           5.426           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.819           0.000           0.000           5.111           0.167           0.208
      4.6701000        0.350000          244.30           72.12         0.00012            7.83           9.995           0.000           0.000           4.968           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.834           0.000           0.000           5.141           0.158           0.066
      4.6701000        0.360000          240.98           68.86         0.00010            7.83           9.873           0.000           0.000           4.541           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.848           0.000           0.000           5.157           0.152           0.002
      4.6701000        0.370000          237.97           65.80         0.00002            7.82           1.026           0.000           0.000           4.145           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.862           0.000           0.000           5.180           0.145           0.028
      4.6701000        0.380000          235.27           63.05         0.00009            7.82           3.378           0.000           0.000           3.773           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.875           0.000           0.000           5.197           0.139           0.160
      4.6701000        0.390000          232.86           60.12         0.00002            7.82           9.862           0.000           0.000           3.442           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.892           0.000           0.000           5.233           0.129           0.363
      4.6701000        0.400000          230.75           57.56         0.00032            7.81           9.727           0.000           0.000           3.128           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.906           0.000           0.000           5.258           0.122           0.691
      4.6701000        0.410000          228.92           55.11         0.00000            7.81           9.842           0.000           0.000           2.840           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.922           0.000           0.000           5.280           0.115           1.122
      4.6701000        0.420000          227.38           52.80         0.00001            7.81           5.960           0.000           0.000           2.574           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.937           0.000           0.000           5.302           0.109           1.666
      4.6701000        0.430000          226.12           50.62         0.00024            7.81           1.048           0.000           0.000           2.329           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.952           0.000           0.000           5.317           0.105           2.329
      4.6701000        0.440000          225.14           48.60         0.00011            7.81           5.257           0.000           0.000           2.102           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.967           0.000           0.000           5.349           0.097           3.123
      4.6701000        0.450000          224.42           46.60         0.00016            7.81           4.994           0.000           0.000           1.897           0.000           1.653          10.302           0.000           0.000           0.000           0.000           2.984           0.000           0.000           5.365           0.093           4.005
      4.6701000        0.460000          223.97           44.77         0.00008            7.81           1.084           0.000           0.000           1.706           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.000           0.000           0.000           5.393           0.086           5.036
      4.6701000        0.470000          223.78           43.04         0.00003            7.82           4.800           0.000           0.000           1.531           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.017           0.000           0.000           5.423           0.079           6.193
      4.6701000        0.480000          223.84           41.40         0.00000            7.82           5.911           0.000           0.000           1.371           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.033           0.000           0.000           5.433           0.076           7.484
      4.6701000        0.490000          224.16           39.90         0.00032            7.82           3.213           0.000           0.000           1.223           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.049           0.000           0.000           5.458           0.070           8.931
      4.6701000        0.500000          224.74           38.41         0.00027            7.83           1.686           0.000           0.000           1.090           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.066           0.000           0.000           5.492           0.063          10.472
      4.6701000        0.510000          224.58           36.79         0.00021            7.84           3.133           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.089           0.000           0.000           5.517           0.058          11.964
      4.6701000        0.520000          225.76           35.50         0.00062            7.84           4.543           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.106           0.000           0.000           5.532           0.055          13.792
      4.6701000        0.530000          227.16           34.28         0.00002            7.85           9.980           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.124           0.000           0.000           5.553           0.051          15.758
      4.6701000        0.540000          228.79           33.17         0.00008            7.87           6.520           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.141           0.000           0.000           5.589           0.045          17.901
      4.6701000        0.550000          230.65           32.06         0.00002            7.88           1.385           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.159           0.000           0.000           5.608           0.041          20.133
      4.6701000        0.560000          232.73           31.08         0.00000            7.89           1.364           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.176           0.000           0.000           5.631           0.038          22.576
      4.6701000        0.570000          235.03           30.07         0.00010            7.90           9.902           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.195           0.000           0.000           5.650           0.035          25.068
      4.6701000        0.580000          237.55           29.16         0.00001            7.92           9.702           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.214           0.000           0.000           5.684           0.030          27.752
      4.6701000        0.590000          240.29           28.32         0.00002            7.94           9.264           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.232           0.000           0.000           5.726           0.024          30.617
      4.6701000        0.600000          243.24           27.45         0.00000            7.95           2.048           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.253           0.000           0.000           5.740           0.022          33.508
