             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 

     93.4400000        5.700000          383.08           48.59         0.00232           12.45    1.091+0.000j
     93.4400000        5.705000          383.65           49.72         0.00176           12.59    1.037+0.000j
     93.4400000        5.710000          384.30           50.86         0.00114           12.73    1.146+0.000j
     93.4400000        5.715000          385.02           52.00         0.00028           12.85    1.732+0.000j
     93.4400000        5.720000          385.82           53.16         0.00000           12.96    8.137+0.000j
     93.4400000        5.725000          386.69           54.34         0.00018           13.08    8.167+0.000j
     93.4400000        5.730000          387.64           55.52         0.00001           13.18    1.363+0.000j
     93.4400000        5.735000          388.68           56.69         0.00002           13.29    9.252+0.000j
     93.4400000        5.740000          389.79           57.89         0.00005           13.40    9.305+0.000j
     93.4400000        5.745000          390.98           59.08         0.00005           13.53    9.690+0.000j
     93.4400000        5.750000          392.25           60.29         0.00011           13.63    1.216+0.000j
     93.4400000        5.755000          393.60           61.50         0.00000           13.76    1.190+0.000j
     93.4400000        5.760000          395.03           62.71         0.00003           13.88    1.364+0.000j
     93.4400000        5.765000          396.54           63.93         0.00000           13.99    1.510+0.000j
     93.4400000        5.770000          398.13           65.15         0.00001           14.12    1.618+0.000j
     93.4400000        5.775000          399.81           66.36         0.00001           14.25    9.460+0.000j
     93.4400000        5.780000          401.57           67.58         0.00000           14.36    1.559+0.000j
     93.4400000        5.785000          403.41           68.81         0.00000           14.49    1.244+0.000j
     93.4400000        5.790000          405.34           70.01         0.00002           14.62    2.464+0.000j
     93.4400000        5.795000          407.35           71.22         0.00001           14.75    1.622+0.000j
     93.4400000        5.800000          409.44           72.42         0.00005           14.88    2.468+0.000j
     93.4400000        5.805000          411.62           73.62         0.00002           15.01    5.135+0.000j
     93.4400000        5.810000          413.89           74.81         0.00003           15.15    1.240+0.000j
     93.4400000        5.815000          416.24           75.97         0.00003           15.30    2.618+0.000j
     93.4400000        5.820000          418.67           77.13         0.00001           15.44    6.218+0.000j
     93.4400000        5.825000          421.20           78.27         0.00001           15.57    1.672+0.000j
     93.4400000        5.830000          423.81           79.40         0.00000           15.72    4.503+0.000j
     93.4400000        5.835000          426.50           80.49         0.00004           15.85    7.862+0.000j
     93.4400000        5.840000          429.29           81.56         0.00000           15.99    1.009+0.000j
     93.4400000        5.845000          432.16           82.60         0.00000           16.16    1.229+0.000j
     93.4400000        5.850000          435.11           83.61         0.00001           16.30    7.810+0.000j
     93.4400000        5.855000          438.16           84.59         0.00004           16.45    9.983+0.000j
     93.4400000        5.860000          441.29           85.52         0.00000           16.62    1.762+0.000j
     93.4400000        5.865000          444.51           86.40         0.00001           16.78    9.383+0.000j
     93.4400000        5.870000          447.82           87.26         0.00007           16.91    9.970+0.000j
     93.4400000        5.875000          451.21           88.02         0.00000           17.09    1.117+0.000j
     93.4400000        5.880000          454.69           88.75         0.00002           17.27    3.497+0.000j
     93.4400000        5.885000          458.26           89.40         0.00000           17.43    1.212+0.000j
     93.4400000        5.890000          461.91           89.98         0.00000           17.61    1.305+0.000j
     93.4400000        5.895000          465.64           90.48         0.00000           17.79    8.636+0.000j
     93.4400000        5.900000          469.46           90.91         0.00000           17.96    2.581+0.000j
     93.4400000        5.905000          473.36           91.23         0.00003           18.15    3.466+0.000j
     93.4400000        5.910000          477.35           91.46         0.00002           18.33    1.342+0.000j
     93.4400000        5.915000          481.41           91.57         0.00001           18.52    3.711+0.000j
     93.4400000        5.920000          485.55           91.59         0.00002           18.71    9.965+0.000j
     93.4400000        5.925000          489.77           91.46         0.00000           18.90    6.729+0.000j
     93.4400000        5.930000          494.06           91.22         0.00001           19.11    9.517+0.000j
     93.4400000        5.935000          498.42           90.84         0.00002           19.32    1.379+0.000j
     93.4400000        5.940000          502.85           90.31         0.00000           19.53    9.813+0.000j
     93.4400000        5.945000          507.35           89.67             nan           19.72    1.201+0.000j
     93.4400000        5.950000          511.91           88.88         0.00000           19.93    1.166+0.000j
     93.4400000        5.955000          516.53           87.91         0.00000           20.13    8.649+0.000j
     93.4400000        5.960000          521.21           86.78         0.00004           20.35    1.975+0.000j
     93.4400000        5.965000          525.94           85.48         0.00000           20.55    5.808+0.000j
     93.4400000        5.970000          530.71           84.07         0.00002           20.77    2.017+0.000j
     93.4400000        5.975000          535.53           82.50         0.00001           20.97    8.032+0.000j
     93.4400000        5.980000          540.39           80.79         0.00000           21.19    9.890+0.000j
     93.4400000        5.985000          545.28           78.94         0.00000           21.39    9.180+0.000j
     93.4400000        5.990000          550.20           76.95         0.00005           21.59    1.132+0.000j
     93.4400000        5.995000          555.14           74.87         0.00000           21.79    1.634+0.000j
     93.4400000        6.000000          560.11           72.68         0.00000           21.99    9.808+0.000j
     93.4400000        6.005000          565.08           70.39         0.00001           22.18    6.635+0.000j
     93.4400000        6.010000          570.07           68.03         0.00000           22.36    1.484+0.000j
     93.4400000        6.015000          575.07           65.63         0.00000           22.53    9.734+0.000j
     93.4400000        6.020000          580.06           63.18         0.00002           22.71    1.040+0.000j
     93.4400000        6.025000          585.05           60.66         0.00001           22.86    1.338+0.000j
     93.4400000        6.030000          590.04           58.15         0.00001           23.02    1.035+0.000j
     93.4400000        6.035000          595.01           55.63         0.00000           23.18    9.653+0.000j
     93.4400000        6.040000          599.97           53.14             nan           23.30    8.259+0.000j
     93.4400000        6.045000          604.92           50.65         0.00000           23.44    2.695+0.000j
     93.4400000        6.050000          609.85           48.18         0.00000           23.55    7.245+0.000j
     93.4400000        6.055000          614.76           45.76         0.00001           23.67    1.499+0.000j
     93.4400000        6.060000          619.64           43.39         0.00000           23.77    9.843+0.000j
     93.4400000        6.065000          624.50           41.06         0.00000           23.86    4.151+0.000j
     93.4400000        6.070000          629.34           38.79         0.00000           23.94    2.992+0.000j
     93.4400000        6.075000          634.15           36.57         0.00000           24.02    1.603+0.000j
     93.4400000        6.080000          638.93           34.42         0.00000           24.08    1.038+0.000j
     93.4400000        6.085000          643.69           32.33         0.00000           24.15    2.386+0.000j
     93.4400000        6.090000          648.41           30.31         0.00001           24.20    3.537+0.000j
