             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
     93.4400000        6.115000          669.84           21.52         0.03054           12.05    9.689+0.000j
     93.4400000        6.120000          674.39           19.90         0.03055           12.02    9.893+0.000j
     93.4400000        6.125000          678.92           18.36         0.03053           12.02    9.911+0.000j
     93.4400000        6.130000          683.43           16.90         0.03055           12.02    9.734+0.000j
     93.4400000        6.135000          687.90           15.53         0.03056           11.99    9.967+0.000j
     93.4400000        6.140000          692.36           14.20         0.03057           11.96    9.940+0.000j
     93.4400000        6.145000          696.79           12.94         0.03057           11.91   10.000+0.000j
     93.4400000        6.150000          701.20           11.79         0.03060           11.89    9.597+0.000j
     93.4400000        6.155000          705.59           10.68         0.03063           11.85    9.999+0.000j
     93.4400000        6.160000          709.96            9.63         0.03064           11.77    9.946+0.000j
     93.4400000        6.165000          714.31            8.65         0.03066           11.73    9.890+0.000j
     93.4400000        6.170000          718.65            7.74         0.03070           11.65    9.808+0.000j
     93.4400000        6.175000          722.98            6.88         0.03071           11.59    9.840+0.000j
     93.4400000        6.180000          727.29            6.09         0.03076           11.50    9.494+0.000j
     93.4400000        6.185000          731.60            5.37         0.03076           11.44    9.998+0.000j
     93.4400000        6.190000          735.91            4.68         0.03084           11.31    9.869+0.000j
     93.4400000        6.195000          740.21            4.06         0.03089           11.21    9.944+0.000j
     93.4410891        5.700000          356.82           45.74         0.03691            1.23    9.991+0.000j
     93.4410891        5.705000          357.30           46.80         0.03683            1.30    9.904+0.000j
     93.4410891        5.710000          357.85           47.89         0.03677            1.36    9.907+0.000j
     93.4410891        5.715000          358.48           49.00         0.03671            1.42    9.967+0.000j
     93.4410891        5.720000          359.19           50.08         0.03665            1.49    9.996+0.000j
     93.4410891        5.725000          359.98           51.19         0.03655            1.58    9.676+0.000j
     93.4410891        5.730000          360.84           52.31         0.03651            1.63    9.526+0.000j
     93.4410891        5.735000          361.78           53.45         0.03645            1.70    9.603+0.000j
     93.4410891        5.740000          362.80           54.56         0.03638            1.78    9.976+0.000j
     93.4410891        5.745000          363.90           55.70         0.03632            1.85    9.647+0.000j
     93.4410891        5.750000          365.08           56.81         0.03625            1.93    9.921+0.000j
     93.4410891        5.755000          366.34           57.98         0.03618            2.01    9.989+0.000j
     93.4410891        5.760000          367.68           59.11         0.03611            2.09    9.823+0.000j
     93.4410891        5.765000          369.10           60.27         0.03605            2.18    9.979+0.000j
     93.4410891        5.770000          370.60           61.41         0.03598            2.25    9.882+0.000j
     93.4410891        5.775000          372.18           62.54         0.03592            2.34    9.309+0.000j
     93.4410891        5.780000          373.85           63.72         0.03584            2.44    9.060+0.000j
     93.4410891        5.785000          375.60           64.86         0.03577            2.52    9.719+0.000j
     93.4410891        5.790000          377.43           65.98         0.03570            2.61    9.988+0.000j
     93.4410891        5.795000          379.34           67.12         0.03564            2.71    9.942+0.000j
     93.4410891        5.800000          381.34           68.26         0.03556            2.81    9.994+0.000j
     93.4410891        5.805000          383.43           69.38         0.03548            2.92    9.654+0.000j
     93.4410891        5.810000          385.60           70.49         0.03540            3.02    9.349+0.000j
     93.4410891        5.815000          387.85           71.59         0.03536            3.11    9.554+0.000j
     93.4410891        5.820000          390.19           72.68         0.03527            3.22    9.983+0.000j
     93.4410891        5.825000          392.61           73.72         0.03519            3.33    9.618+0.000j
     93.4410891        5.830000          395.12           74.77         0.03513            3.44    9.893+0.000j
     93.4410891        5.835000          397.72           75.78         0.03503            3.57    9.856+0.000j
     93.4410891        5.840000          400.40           76.76         0.03500            3.69    7.291+0.000j
     93.4410891        5.845000          403.17           77.72         0.03489            3.80    9.956+0.000j
     93.4410891        5.850000          406.02           78.66         0.03479            3.94    9.594+0.000j
     93.4410891        5.855000          408.96           79.54         0.03472            4.05    9.990+0.000j
     93.4410891        5.860000          411.99           80.37         0.03465            4.17    9.997+0.000j
     93.4410891        5.865000          415.10           81.21         0.03456            4.31    9.945+0.000j
     93.4410891        5.870000          418.30           81.99         0.03447            4.45    9.888+0.000j
     93.4410891        5.875000          421.58           82.66         0.03440            4.60    9.806+0.000j
     93.4410891        5.880000          424.95           83.32         0.03431            4.73    9.915+0.000j
     93.4410891        5.885000          428.40           83.89         0.03424            4.89    9.587+0.000j
     93.4410891        5.890000          431.94           84.37         0.03412            5.05    9.935+0.000j
     93.4410891        5.895000          435.56           84.86         0.03403            5.19    9.986+0.000j
     93.4410891        5.900000          439.26           85.18         0.03394            5.35    9.821+0.000j
     93.4410891        5.905000          443.04           85.42         0.03385            5.51    9.943+0.000j
     93.4410891        5.910000          446.91           85.63         0.03374            5.69    9.603+0.000j
     93.4410891        5.915000          450.85           85.71         0.03365            5.86    9.992+0.000j
     93.4410891        5.920000          454.86           85.67         0.03355            6.02    9.710+0.000j
     93.4410891        5.925000          458.96           85.53         0.03346            6.21    9.991+0.000j
     93.4410891        5.930000          463.12           85.27         0.03336            6.39    9.893+0.000j
     93.4410891        5.935000          467.36           84.88         0.03323            6.59    9.459+0.000j
     93.4410891        5.940000          471.66           84.34         0.03313            6.79    9.752+0.000j
     93.4410891        5.945000          476.03           83.72         0.03305            6.96    9.959+0.000j
     93.4410891        5.950000          480.46           82.92         0.03296            7.15    9.768+0.000j
     93.4410891        5.955000          484.94           81.97         0.03287            7.36    9.519+0.000j
     93.4410891        5.960000          489.49           80.99         0.03274            7.55    9.962+0.000j
     93.4410891        5.965000          494.08           79.83         0.03265            7.74    9.984+0.000j
     93.4410891        5.970000          498.72           78.41         0.03253            7.96    9.928+0.000j
     93.4410891        5.975000          503.41           76.96         0.03243            8.15    9.987+0.000j
     93.4410891        5.980000          508.14           75.36         0.03233            8.35    9.759+0.000j
     93.4410891        5.985000          512.90           73.70         0.03224            8.55    9.787+0.000j
     93.4410891        5.990000          517.69           71.71         0.03213            8.77    9.994+0.000j
     93.4410891        5.995000          522.50           69.90         0.03204            8.95    9.997+0.000j
     93.4410891        6.000000          527.34           67.87         0.03193            9.15    9.955+0.000j
     93.4410891        6.005000          532.19           65.76         0.03185            9.35    9.837+0.000j
     93.4410891        6.010000          537.06           63.59         0.03176            9.51    9.933+0.000j
     93.4410891        6.015000          541.94           61.35         0.03168            9.69    9.993+0.000j
     93.4410891        6.020000          546.82           59.14         0.03159            9.86    9.973+0.000j
     93.4410891        6.025000          551.71           56.84         0.03151           10.03    9.831+0.000j
     93.4410891        6.030000          556.59           54.46         0.03146           10.17    9.752+0.000j
     93.4410891        6.035000          561.46           52.19         0.03136           10.34    9.991+0.000j
     93.4410891        6.040000          566.33           49.81         0.03130           10.48    9.779+0.000j
     93.4410891        6.045000          571.19           47.55         0.03123           10.61    9.955+0.000j
