             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
      4.7250000        4.996000          530.29           48.64         0.00673           15.73   10.000+0.000j
      4.7250000        5.008000          540.03           49.37         0.00683           15.64   10.000+0.000j
      4.7250000        5.020000          549.81           50.13         0.00694           15.56   10.000+0.000j
      4.7250000        5.032000          559.64           50.93         0.00705           15.47   10.000+0.000j
      4.7250000        5.044000          569.52           51.76         0.00716           15.38    9.999+0.000j
      4.7250000        5.056000          579.43           52.62         0.00726           15.27    9.999+0.000j
      4.7250000        5.068000          589.37           53.51         0.00737           15.16   10.000+0.000j
      4.7250000        5.080000          599.35           54.44         0.00748           15.05   10.000+0.000j
      4.7250000        5.092000          609.34           55.41         0.00759           14.93   10.000+0.000j
      4.7250000        5.104000          619.35           56.41         0.00770           14.82   10.000+0.000j
      4.7250000        5.116000          629.38           57.44         0.00780           14.69    9.999+0.000j
      4.7250000        5.128000          639.41           58.52         0.00791           14.56   10.000+0.000j
      4.7250000        5.140000          649.45           59.62         0.00802           14.42   10.000+0.000j
      4.7250000        5.152000          659.49           60.76         0.00813           14.29    9.999+0.000j
      4.7250000        5.164000          669.52           61.94         0.00824           14.16    9.999+0.000j
      4.7250000        5.176000          679.55           63.16         0.00835           14.01   10.000+0.000j
      4.7250000        5.188000          689.57           64.41         0.00845           13.90   10.000+0.000j
      4.7259901        4.000000          190.15           95.88         0.00136            7.92    9.993+0.000j
      4.7259901        4.012000          188.50           93.84         0.00138            7.89    9.986+0.000j
      4.7259901        4.024000          186.93           91.85         0.00141            7.86    9.996+0.000j
      4.7259901        4.036000          185.46           89.89         0.00143            7.83    9.990+0.000j
      4.7259901        4.048000          184.07           87.98         0.00146            7.81    9.998+0.000j
      4.7259901        4.060000          182.77           86.11         0.00148            7.80    9.999+0.000j
      4.7259901        4.072000          181.57           84.27         0.00151            7.78    9.987+0.000j
      4.7259901        4.084000          180.46           82.48         0.00153            7.77   10.000+0.000j
      4.7259901        4.096000          179.46           80.73         0.00156            7.77    9.999+0.000j
      4.7259901        4.108000          178.55           79.02         0.00159            7.77    9.995+0.000j
      4.7259901        4.120000          177.75           77.35         0.00162            7.77    9.992+0.000j
      4.7259901        4.132000          177.05           75.72         0.00165            7.78    9.999+0.000j
      4.7259901        4.144000          176.46           74.13         0.00168            7.80   10.000+0.000j
      4.7259901        4.156000          175.98           72.58         0.00171            7.82    9.996+0.000j
      4.7259901        4.168000          175.61           71.07         0.00174            7.85    9.993+0.000j
      4.7259901        4.180000          175.35           69.59         0.00178            7.88    9.991+0.000j
      4.7259901        4.192000          175.22           68.16         0.00181            7.92    9.982+0.000j
      4.7259901        4.204000          175.20           66.76         0.00185            7.97    9.999+0.000j
      4.7259901        4.216000          175.30           65.40         0.00188            8.02    9.993+0.000j
      4.7259901        4.228000          175.53           64.08         0.00192            8.08    9.991+0.000j
      4.7259901        4.240000          175.89           62.79         0.00196            8.14   10.000+0.000j
      4.7259901        4.252000          176.38           61.54         0.00200            8.21    9.999+0.000j
      4.7259901        4.264000          177.00           60.33         0.00203            8.29    9.998+0.000j
      4.7259901        4.276000          177.76           59.15         0.00208            8.38    9.998+0.000j
      4.7259901        4.288000          178.66           58.01         0.00212            8.47    9.997+0.000j
      4.7259901        4.300000          179.69           56.91         0.00216            8.57    9.999+0.000j
      4.7259901        4.312000          180.87           55.84         0.00220            8.68    9.995+0.000j
      4.7259901        4.324000          182.20           54.81         0.00225            8.80   10.000+0.000j
      4.7259901        4.336000          183.68           53.81         0.00229            8.92   10.000+0.000j
      4.7259901        4.348000          185.30           52.85         0.00234            9.05    9.999+0.000j
      4.7259901        4.360000          187.08           51.92         0.00239            9.19    9.999+0.000j
      4.7259901        4.372000          189.02           51.02         0.00244            9.33   10.000+0.000j
      4.7259901        4.384000          191.12           50.16         0.00249            9.48   10.000+0.000j
      4.7259901        4.396000          193.38           49.34         0.00254            9.64    9.997+0.000j
      4.7259901        4.408000          195.80           48.54         0.00260            9.80    9.997+0.000j
      4.7259901        4.420000          198.38           47.78         0.00265            9.97    9.999+0.000j
      4.7259901        4.432000          201.14           47.05         0.00270           10.15   10.000+0.000j
      4.7259901        4.444000          204.06           46.35         0.00276           10.33    9.999+0.000j
      4.7259901        4.456000          207.16           45.69         0.00282           10.52    9.999+0.000j
      4.7259901        4.468000          210.43           45.06         0.00288           10.71   10.000+0.000j
      4.7259901        4.480000          213.88           44.45         0.00294           10.91    9.999+0.000j
      4.7259901        4.492000          217.50           43.89         0.00300           11.11    9.999+0.000j
      4.7259901        4.504000          221.30           43.35         0.00306           11.31   10.000+0.000j
      4.7259901        4.516000          225.28           42.84         0.00313           11.51   10.000+0.000j
      4.7259901        4.528000          229.44           42.36         0.00319           11.73   10.000+0.000j
      4.7259901        4.540000          233.79           41.92         0.00326           11.94   10.000+0.000j
      4.7259901        4.552000          238.31           41.50         0.00333           12.15   10.000+0.000j
      4.7259901        4.564000          243.02           41.11         0.00340           12.37   10.000+0.000j
      4.7259901        4.576000          247.91           40.76         0.00347           12.58    9.999+0.000j
      4.7259901        4.588000          252.98           40.43         0.00354           12.79   10.000+0.000j
      4.7259901        4.600000          258.24           40.14         0.00361           13.00    9.999+0.000j
      4.7259901        4.612000          263.68           39.87         0.00369           13.21    9.999+0.000j
      4.7259901        4.624000          269.30           39.63         0.00376           13.41   10.000+0.000j
      4.7259901        4.636000          275.10           39.43         0.00384           13.62   10.000+0.000j
      4.7259901        4.648000          281.08           39.25         0.00392           13.82   10.000+0.000j
      4.7259901        4.660000          287.24           39.10         0.00400           14.01   10.000+0.000j
      4.7259901        4.672000          293.58           38.98         0.00408           14.20    9.999+0.000j
      4.7259901        4.684000          300.09           38.89         0.00416           14.38    9.999+0.000j
      4.7259901        4.696000          306.78           38.83         0.00424           14.56   10.000+0.000j
      4.7259901        4.708000          313.64           38.79         0.00433           14.72   10.000+0.000j
      4.7259901        4.720000          320.66           38.79         0.00442           14.89   10.000+0.000j
      4.7259901        4.732000          327.86           38.81         0.00450           15.03   10.000+0.000j
      4.7259901        4.744000          335.21           38.87         0.00459           15.18   10.000+0.000j
