             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 

      4.7250000        4.000000          197.73           96.67         0.04265            2.83    1.490+0.000j
      4.7250000        4.012000          196.36           94.63         0.04275            3.04    9.345+0.000j
      4.7250000        4.024000          195.09           92.63         0.04287            3.27    3.388+0.000j
      4.7250000        4.036000          193.93           90.67         0.04299            3.49    1.001+0.000j
      4.7250000        4.048000          192.86           88.75         0.04311            3.76    7.848+0.000j
      4.7250000        4.060000          191.91           86.87         0.04322            4.02    4.869+0.000j
      4.7250000        4.072000          191.06           85.03         0.04335            4.30    2.884+0.000j
      4.7250000        4.084000          190.33           83.23         0.04346            4.59    1.000+0.000j
      4.7250000        4.096000          189.71           81.47         0.04359            4.90    9.862+0.000j
      4.7250000        4.108000          189.21           79.76         0.04371            5.22    2.177+0.000j
      4.7250000        4.120000          188.83           78.08         0.04385            5.57    3.649+0.000j
      4.7250000        4.132000          188.58           76.44         0.04398            5.93    7.895+0.000j
      4.7250000        4.144000          188.45           74.84         0.04411            6.31    6.239+0.000j
      4.7250000        4.156000          188.46           73.27         0.04425            6.72    1.565+0.000j
      4.7250000        4.168000          188.60           71.75         0.04439            7.14    9.965+0.000j
      4.7250000        4.180000          188.88           70.26         0.04454            7.60    1.818+0.000j
      4.7250000        4.192000          189.30           68.82         0.04467            8.04    7.715+0.000j
      4.7250000        4.204000          189.87           67.41         0.04482            8.54    9.061+0.000j
      4.7250000        4.216000          190.60           66.04         0.04496            9.05    1.374+0.000j
      4.7250000        4.228000          191.47           64.70         0.04511            9.58    1.002+0.000j
      4.7250000        4.240000          192.50           63.40         0.04526           10.14    9.977+0.000j
      4.7250000        4.252000          193.70           62.14         0.04541           10.72    9.996+0.000j
      4.7250000        4.264000          195.06           60.92         0.04557           11.34    3.304+0.000j
      4.7250000        4.276000          196.60           59.73         0.04572           11.98    3.609+0.000j
      4.7250000        4.288000          198.31           58.57         0.04588           12.65    1.697+0.000j
      4.7250000        4.300000          200.20           57.45         0.04604           13.33    1.199+0.000j
      4.7250000        4.312000          202.27           56.37         0.04620           14.04    2.051+0.000j
