             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay

     93.4300000        5.600000          672.15           63.75         0.00007           11.84           1.115           0.000           0.000           1.133           0.000           1.653          10.302           0.000           0.000           0.000          24.510           4.527           0.000           0.000
     93.4300000        5.606000          672.59           65.64         0.00000           11.93           1.182           0.000           0.000           1.188           0.000           1.653          10.302           0.000           0.000           0.000          24.526           4.519           0.000           0.000
     93.4300000        5.612000          673.12           67.57         0.00008           11.98           1.193           0.000           0.000           1.246           0.000           1.653          10.302           0.000           0.000           0.000          24.542           4.511           0.000           0.000
     93.4300000        5.618000          673.76           69.51         0.00006           12.16           3.453           0.000           0.000           1.306           0.000           1.653          10.302           0.000           0.000           0.000          24.558           4.504           0.000           0.000
     93.4300000        5.624000          674.49           71.50         0.00001           12.24           9.779           0.000           0.000           1.369           0.000           1.653          10.302           0.000           0.000           0.000          24.574           4.497           0.000           0.000
     93.4300000        5.630000          675.31           73.57         0.00004           12.35           1.128           0.000           0.000           1.434           0.000           1.653          10.302           0.000           0.000           0.000          24.589           4.489           0.000           0.000
     93.4300000        5.636000          676.24           75.59         0.00004           12.46           3.174           0.000           0.000           1.503           0.000           1.653          10.302           0.000           0.000           0.000          24.605           4.482           0.000           0.000
     93.4300000        5.642000          677.27           77.63         0.00003           12.65           4.075           0.000           0.000           1.575           0.000           1.653          10.302           0.000           0.000           0.000          24.621           4.476           0.000           0.000
     93.4300000        5.648000          678.40           79.84         0.00004           12.68           1.145           0.000           0.000           1.648           0.000           1.653          10.302           0.000           0.000           0.000          24.636           4.468           0.000           0.000
     93.4300000        5.654000          679.64           81.93         0.00004           12.77           1.661           0.000           0.000           1.727           0.000           1.653          10.302           0.000           0.000           0.000          24.653           4.463           0.000           0.000
     93.4300000        5.660000          680.97           84.20         0.00000           12.90           1.886           0.000           0.000           1.807           0.000           1.653          10.302           0.000           0.000           0.000          24.668           4.455           0.000           0.000
     93.4300000        5.666000          682.42           86.45         0.00010           13.04           9.950           0.000           0.000           1.890           0.000           1.653          10.302           0.000           0.000           0.000          24.684           4.449           0.000           0.000
     93.4300000        5.672000          683.97           88.66         0.00001           13.08           7.071           0.000           0.000           1.980           0.000           1.653          10.302           0.000           0.000           0.000          24.700           4.444           0.000           0.000
     93.4300000        5.678000          685.63           91.07         0.00003           13.24           1.383           0.000           0.000           2.069           0.000           1.653          10.302           0.000           0.000           0.000          24.714           4.437           0.000           0.000
     93.4300000        5.684000          687.40           93.45         0.00083           13.34           1.533           0.000           0.000           2.164           0.000           1.653          10.302           0.000           0.000           0.000          24.731           4.431           0.000           0.000
     93.4300000        5.690000          689.27           95.86         0.00000           13.46           7.867           0.000           0.000           2.262           0.000           1.653          10.302           0.000           0.000           0.000          24.744           4.425           0.000           0.000
     93.4300000        5.696000          691.27           98.30         0.00006           13.56           1.689           0.000           0.000           2.365           0.000           1.653          10.302           0.000           0.000           0.000          24.759           4.419           0.000           0.000
     93.4300000        5.702000          693.37          100.78         0.00000           13.70           9.981           0.000           0.000           2.472           0.000           1.653          10.302           0.000           0.000           0.000          24.775           4.414           0.000           0.000
     93.4300000        5.708000          695.59          103.38         0.00008           13.82           2.223           0.000           0.000           2.582           0.000           1.653          10.302           0.000           0.000           0.000          24.790           4.408           0.000           0.000
     93.4300000        5.714000          697.92          105.91         0.00018           13.94           2.303           0.000           0.000           2.699           0.000           1.653          10.302           0.000           0.000           0.000          24.806           4.404           0.000           0.000
     93.4300000        5.720000          700.38          108.51         0.00002           14.07           1.567           0.000           0.000           2.820           0.000           1.653          10.302           0.000           0.000           0.000          24.820           4.399           0.000           0.000
     93.4300000        5.726000          702.95          111.18         0.00004           14.18           1.418           0.000           0.000           2.945           0.000           1.653          10.302           0.000           0.000           0.000          24.834           4.394           0.000           0.000
     93.4300000        5.732000          705.64          113.87         0.00029           14.29           1.023           0.000           0.000           3.076           0.000           1.653          10.302           0.000           0.000           0.000          24.849           4.389           0.000           0.000
     93.4300000        5.738000          708.45          116.60         0.00003           14.43           1.069           0.000           0.000           3.212           0.000           1.653          10.302           0.000           0.000           0.000          24.864           4.385           0.000           0.000
     93.4300000        5.744000          711.39          119.38         0.00006           14.54           2.139           0.000           0.000           3.353           0.000           1.653          10.302           0.000           0.000           0.000          24.880           4.381           0.000           0.000
     93.4300000        5.750000          714.46          122.20         0.00005           14.70           9.710           0.000           0.000           3.500           0.000           1.653          10.302           0.000           0.000           0.000          24.893           4.377           0.000           0.000
     93.4300000        5.756000          717.65          125.14         0.00015           14.80           9.748           0.000           0.000           3.651           0.000           1.653          10.302           0.000           0.000           0.000          24.909           4.373           0.000           0.000
     93.4300000        5.762000          720.96          128.00         0.00007           14.93           1.006           0.000           0.000           3.811           0.000           1.653          10.302           0.000           0.000           0.000          24.924           4.370           0.000           0.000
     93.4300000        5.768000          724.41          130.97         0.00004           15.07           9.791           0.000           0.000           3.976           0.000           1.653          10.302           0.000           0.000           0.000          24.938           4.366           0.000           0.000
     93.4300000        5.774000          728.00          133.98         0.00000           15.19           1.312           0.000           0.000           4.147           0.000           1.653          10.302           0.000           0.000           0.000          24.953           4.363           0.000           0.000
     93.4300000        5.780000          731.71          137.04         0.00001           15.32           2.987           0.000           0.000           4.325           0.000           1.653          10.302           0.000           0.000           0.000          24.968           4.360           0.000           0.000
     93.4300000        5.786000          735.56          140.13         0.00007           15.47           3.045           0.000           0.000           4.510           0.000           1.653          10.302           0.000           0.000           0.000          24.982           4.357           0.000           0.000
     93.4300000        5.792000          739.56          143.27         0.00088           15.61           1.040           0.000           0.000           4.703           0.000           1.653          10.302           0.000           0.000           0.000          24.999           4.354           0.000           0.000
