             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay

      4.6700500        0.100000          837.44          294.56         0.00007            7.80           2.578           0.000           0.000          39.188           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.347           0.000           0.000
      4.6700500        0.110000          830.79          288.85         0.00003            7.81           9.889           0.000           0.000          37.859           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.354           0.000           0.000
      4.6700500        0.120000          824.25          283.19         0.00010            7.82           4.478           0.000           0.000          36.540           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.361           0.000           0.000
      4.6700500        0.130000          817.83          277.60         0.00003            7.84           1.153           0.000           0.000          35.232           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.367           0.000           0.000
      4.6700500        0.140000          811.53          272.06         0.00023            7.85           9.866           0.000           0.000          33.942           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.374           0.000           0.000
      4.6700500        0.150000          805.36          266.62         0.00006            7.87           1.897           0.000           0.000          32.669           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.381           0.000           0.000
      4.6700500        0.160000          799.31          261.26         0.00001            7.88           9.998           0.000           0.000          31.416           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.388           0.000           0.000
      4.6700500        0.170000          793.40          255.95         0.00002            7.90           3.416           0.000           0.000          30.190           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.396           0.000           0.000
      4.6700500        0.180000          787.64          250.68         0.00005            7.92           9.111           0.000           0.000          28.994           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.404           0.000           0.000
      4.6700500        0.190000          782.01          245.52         0.00002            7.93           5.379           0.000           0.000          27.823           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.413           0.000           0.000
      4.6700500        0.200000          776.54          240.45         0.00025            7.96           1.283           0.000           0.000          26.680           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.420           0.000           0.000
      4.6700500        0.210000          771.21          235.44         0.00000            7.97           2.150           0.000           0.000          25.570           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.429           0.000           0.000
      4.6700500        0.220000          766.04          230.54         0.00003            7.99           1.881           0.000           0.000          24.488           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.437           0.000           0.000
      4.6700500        0.230000          761.03          225.69         0.00000            8.03           3.165           0.000           0.000          23.442           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.446           0.000           0.000
      4.6700500        0.240000          756.17          220.94         0.00000            8.04           1.412           0.000           0.000          22.428           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.455           0.000           0.000
      4.6700500        0.250000          751.48          216.29         0.00004            8.07           3.956           0.000           0.000          21.446           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.464           0.000           0.000
      4.6700500        0.260000          746.95          211.71         0.00000            8.09           9.999           0.000           0.000          20.500           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.474           0.000           0.000
      4.6700500        0.270000          742.58          207.22         0.00018            8.12           1.002           0.000           0.000          19.586           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.483           0.000           0.000
      4.6700500        0.280000          738.38          202.82         0.00020            8.15           3.114           0.000           0.000          18.705           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.493           0.000           0.000
      4.6700500        0.290000          734.34          198.52         0.00001            8.18           5.583           0.000           0.000          17.856           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.503           0.000           0.000
      4.6700500        0.300000          730.47          194.29         0.00007            8.21           1.094           0.000           0.000          17.041           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.513           0.000           0.000
      4.6700500        0.310000          726.77          190.10         0.00022            8.23           9.953           0.000           0.000          16.265           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.524           0.000           0.000
      4.6700500        0.320000          723.25          186.13         0.00097            8.26           8.491           0.000           0.000          15.505           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.533           0.000           0.000
      4.6700500        0.330000          719.88          182.18         0.00002            8.29           1.560           0.000           0.000          14.782           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.544           0.000           0.000
      4.6700500        0.340000          716.68          178.34         0.00006            8.33           1.212           0.000           0.000          14.089           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.554           0.000           0.000
      4.6700500        0.350000          713.66          174.55         0.00005            8.34           1.970           0.000           0.000          13.428           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.565           0.000           0.000
      4.6700500        0.360000          710.80          170.89         0.00001            8.38           9.982           0.000           0.000          12.792           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.576           0.000           0.000
