m_VLQ phase chi_square
4300.0 1.66 28.48
4300.0 1.69 45.53
4300.0 1.72 67.53
4300.0 1.75 94.72
4300.0 1.78 127.22
4300.0 1.81 165.0
4300.0 1.84 207.87
4600.0 1.24 72.94
4600.0 1.27 63.04
4600.0 1.3 53.28
4600.0 1.33 43.77
4600.0 1.36 34.65
4600.0 1.39 26.15
4600.0 1.42 18.38
4600.0 1.45 12.74
4600.0 1.48 418.2
4600.0 1.51 271.44
4600.0 1.54 168.76
4600.0 1.57 3.18
4600.0 1.6 7.74
4600.0 1.63 16.03
4600.0 1.66 72.39
4600.0 1.69 45.53
4600.0 1.72 67.53
4600.0 1.75 94.72
4600.0 1.78 127.22
4600.0 1.81 1315.71
4600.0 1.84 207.87
4900.0 1.24 108.75
4900.0 1.27 63.04
4900.0 1.3 53.32
4900.0 1.33 43.77
4900.0 1.36 34.65
4900.0 1.39 26.11
4900.0 1.42 24.78
4900.0 1.45 11.82
4900.0 1.48 6.5
4900.0 1.51 2.96
4900.0 1.54 1.75
4900.0 1.57 3.2
4900.0 1.6 7.74
4900.0 1.63 16.03
4900.0 1.66 28.48
4900.0 1.69 45.53
4900.0 1.72 67.53
4900.0 1.75 94.73
4900.0 1.78 127.23
4900.0 1.81 165.0
4900.0 1.84 1217.64
5200.0 1.24 112.56
5200.0 1.27 63.04
5200.0 1.3 55.93
5200.0 1.33 1075.2
5200.0 1.36 34.66
5200.0 1.39 307.16
5200.0 1.42 179.52
5200.0 1.45 12.02
5200.0 1.48 6.94
5200.0 1.51 3.11
5200.0 1.54 1.71
5200.0 1.57 3.16
5200.0 1.6 7.9
5200.0 1.63 16.05
5200.0 1.66 28.55
5200.0 1.69 45.57
5200.0 1.72 67.53
5200.0 1.75 94.72
5200.0 1.78 127.22
5200.0 1.81 397.58
5200.0 1.84 224.68
5500.0 1.24 684.3
5500.0 1.27 63.07
5500.0 1.3 1013.68
5500.0 1.33 112.45
5500.0 1.36 34.66
5500.0 1.39 32.8
5500.0 1.42 18.4
5500.0 1.45 11.98
5500.0 1.48 7.98
5500.0 1.51 4.8
5500.0 1.54 5.37
5500.0 1.57 3.18
5500.0 1.6 23.2
5500.0 1.63 16.05
5500.0 1.66 28.48
5500.0 1.69 45.53
5500.0 1.72 67.53
5500.0 1.75 94.72
5500.0 1.78 127.22
5500.0 1.81 165.0
5500.0 1.84 207.87
5800.0 1.24 203.08
5800.0 1.27 64.66
5800.0 1.3 212.23
5800.0 1.33 1035.34
5800.0 1.36 97.24
5800.0 1.39 26.12
5800.0 1.42 18.53
5800.0 1.45 12.28
5800.0 1.48 89.07
5800.0 1.51 3.91
5800.0 1.54 1.75
5800.0 1.57 5.77
5800.0 1.6 7.77
5800.0 1.63 16.94
5800.0 1.66 28.5
5800.0 1.69 45.53
5800.0 1.72 67.57
5800.0 1.75 94.72
5800.0 1.78 127.22
5800.0 1.81 165.0
5800.0 1.84 207.88
6100.0 1.24 161.65
6100.0 1.27 1075.96
6100.0 1.3 53.29
6100.0 1.33 58.81
6100.0 1.36 34.65
6100.0 1.39 26.11
6100.0 1.42 1092.39
6100.0 1.45 16.08
6100.0 1.48 6.44
6100.0 1.51 3.23
6100.0 1.54 31.44
6100.0 1.57 3.24
6100.0 1.6 640.45
6100.0 1.63 16.22
6100.0 1.66 1359.58
6100.0 1.69 1224.4
6100.0 1.72 68.85
6100.0 1.75 112.37
6100.0 1.78 127.22
6100.0 1.81 331.66
6100.0 1.84 414.07
6400.0 1.24 79.28
6400.0 1.27 63.04
6400.0 1.3 153.14
6400.0 1.33 43.77
6400.0 1.36 54.77
6400.0 1.39 72.83
6400.0 1.42 32.03
6400.0 1.45 81.62
6400.0 1.48 26.64
6400.0 1.51 8.29
6400.0 1.54 5.4
6400.0 1.57 3.31
6400.0 1.6 9.51
6400.0 1.63 18.72
6400.0 1.66 1151.11
6400.0 1.69 45.54
6400.0 1.72 1171.86
6400.0 1.75 105.62
6400.0 1.78 127.24
6400.0 1.81 165.01
6400.0 1.84 211.01
6700.0 1.24 72.96
6700.0 1.27 63.11
6700.0 1.3 167.69
6700.0 1.33 54.93
6700.0 1.36 47.73
6700.0 1.39 26.2
6700.0 1.42 500.4
6700.0 1.45 672.66
6700.0 1.48 32.97
6700.0 1.51 3.06
6700.0 1.54 64.65
6700.0 1.57 20.25
6700.0 1.6 132.56
6700.0 1.63 306.7
6700.0 1.66 843.77
6700.0 1.69 252.38
6700.0 1.72 1043.47
6700.0 1.75 94.73
6700.0 1.78 658.05
6700.0 1.81 923.05
6700.0 1.84 1217.67
7000.0 1.24 133.93
7000.0 1.27 104.21
7000.0 1.3 55.37
7000.0 1.33 43.92
7000.0 1.36 35.75
7000.0 1.39 27.79
7000.0 1.42 589.93
7000.0 1.45 1403.07
7000.0 1.48 270.18
7000.0 1.51 203.52
7000.0 1.54 311.31
7000.0 1.57 5.99
7000.0 1.6 946.37
7000.0 1.63 206.11
7000.0 1.66 28.64
7000.0 1.69 85.4
7000.0 1.72 167.33
7000.0 1.75 175.69
7000.0 1.78 502.65
7000.0 1.81 165.0
7000.0 1.84 743.03
