m_VLQ phase chi_square
4000.0 -2.52 75.03
4000.0 -2.49 96.88
4000.0 -2.46 121.38
4000.0 -2.43 148.43
4300.0 -3.03 183.82
4300.0 -3.0 143.61
4300.0 -2.97 110.49
4300.0 -2.94 83.09
4300.0 -2.91 60.44
4300.0 -2.88 41.92
4300.0 -2.85 27.13
4300.0 -2.82 15.83
4300.0 -2.79 7.87
4300.0 -2.76 3.14
4300.0 -2.73 1.58
4300.0 -2.7 3.13
4300.0 -2.67 7.76
4300.0 -2.64 15.4
4300.0 -2.61 26.0
4300.0 -2.58 39.52
4300.0 -2.55 55.88
4300.0 -2.52 75.03
4300.0 -2.49 96.88
4300.0 -2.46 121.38
4300.0 -2.43 148.43
4600.0 -3.03 183.82
4600.0 -3.0 143.61
4600.0 -2.97 110.49
4600.0 -2.94 83.09
4600.0 -2.91 60.44
4600.0 -2.88 41.92
4600.0 -2.85 27.13
4600.0 -2.82 15.83
4600.0 -2.79 7.87
4600.0 -2.76 3.16
4600.0 -2.73 1.6
4600.0 -2.7 3.13
4600.0 -2.67 7.76
4600.0 -2.64 15.4
4600.0 -2.61 26.0
4600.0 -2.58 39.52
4600.0 -2.55 55.88
4600.0 -2.52 75.03
4600.0 -2.49 96.88
4600.0 -2.46 121.38
4600.0 -2.43 148.43
4900.0 -3.03 183.83
4900.0 -3.0 143.61
4900.0 -2.97 110.49
4900.0 -2.94 83.09
4900.0 -2.91 60.46
4900.0 -2.88 41.92
4900.0 -2.85 27.13
4900.0 -2.82 15.83
4900.0 -2.79 7.88
4900.0 -2.76 3.17
4900.0 -2.73 1.59
4900.0 -2.7 3.15
4900.0 -2.67 7.78
4900.0 -2.64 15.41
4900.0 -2.61 26.0
4900.0 -2.58 39.52
4900.0 -2.55 55.88
4900.0 -2.52 75.03
4900.0 -2.49 96.88
4900.0 -2.46 121.38
4900.0 -2.43 148.43
5200.0 -3.03 183.82
5200.0 -3.0 143.61
5200.0 -2.97 110.49
5200.0 -2.94 83.09
5200.0 -2.91 60.44
5200.0 -2.88 41.92
5200.0 -2.85 27.13
5200.0 -2.82 15.84
5200.0 -2.79 7.87
5200.0 -2.76 3.17
5200.0 -2.73 1.77
5200.0 -2.7 3.18
5200.0 -2.67 7.76
5200.0 -2.64 15.4
5200.0 -2.61 26.01
5200.0 -2.58 39.53
5200.0 -2.55 55.88
5200.0 -2.52 75.03
5200.0 -2.49 96.88
5200.0 -2.46 121.38
5200.0 -2.43 148.43
5500.0 -3.03 183.82
5500.0 -3.0 143.61
5500.0 -2.97 110.49
5500.0 -2.94 83.11
5500.0 -2.91 60.44
5500.0 -2.88 41.92
5500.0 -2.85 27.14
5500.0 -2.82 15.83
5500.0 -2.79 7.88
5500.0 -2.76 3.29
5500.0 -2.73 2.46
5500.0 -2.7 3.23
5500.0 -2.67 7.76
5500.0 -2.64 15.43
5500.0 -2.61 26.01
5500.0 -2.58 39.52
5500.0 -2.55 55.88
5500.0 -2.52 75.03
5500.0 -2.49 96.88
5500.0 -2.46 121.38
5500.0 -2.43 148.43
5800.0 -3.03 183.83
5800.0 -3.0 143.62
5800.0 -2.97 110.49
5800.0 -2.94 83.09
5800.0 -2.91 60.48
5800.0 -2.88 41.93
5800.0 -2.85 27.16
5800.0 -2.82 15.84
5800.0 -2.79 7.93
5800.0 -2.76 3.21
5800.0 -2.73 1.73
5800.0 -2.7 3.16
5800.0 -2.67 7.91
5800.0 -2.64 15.42
5800.0 -2.61 30.61
5800.0 -2.58 39.52
5800.0 -2.55 55.88
5800.0 -2.52 75.03
5800.0 -2.49 96.89
5800.0 -2.46 121.38
5800.0 -2.43 148.43
6100.0 -3.03 183.83
6100.0 -3.0 143.65
6100.0 -2.97 110.49
6100.0 -2.94 83.09
6100.0 -2.91 60.44
6100.0 -2.88 41.95
6100.0 -2.85 27.13
6100.0 -2.82 15.91
6100.0 -2.79 8.13
6100.0 -2.76 3.23
6100.0 -2.73 1.58
6100.0 -2.7 3.35
6100.0 -2.67 18.1
6100.0 -2.64 15.41
6100.0 -2.61 26.06
6100.0 -2.58 39.55
6100.0 -2.55 55.89
6100.0 -2.52 75.03
6100.0 -2.49 96.88
6100.0 -2.46 121.38
6100.0 -2.43 148.43
6400.0 -3.03 183.83
6400.0 -3.0 143.61
6400.0 -2.97 110.53
6400.0 -2.94 83.1
6400.0 -2.91 60.44
6400.0 -2.88 41.93
6400.0 -2.85 27.27
6400.0 -2.82 15.91
6400.0 -2.79 7.99
6400.0 -2.76 4.52
6400.0 -2.73 1.6
6400.0 -2.7 5.72
6400.0 -2.67 41.24
6400.0 -2.64 15.48
6400.0 -2.61 26.21
6400.0 -2.58 39.65
6400.0 -2.55 55.88
6400.0 -2.52 76.6
6400.0 -2.49 96.91
6400.0 -2.46 121.41
6400.0 -2.43 277.21
6700.0 -3.03 183.84
6700.0 -3.0 143.66
6700.0 -2.97 110.51
6700.0 -2.94 83.1
6700.0 -2.91 62.13
6700.0 -2.88 41.97
6700.0 -2.85 27.17
6700.0 -2.82 15.83
6700.0 -2.79 1014.72
6700.0 -2.76 3.8
6700.0 -2.73 1.66
6700.0 -2.7 4.44
6700.0 -2.67 133.62
6700.0 -2.64 15.63
6700.0 -2.61 26.01
6700.0 -2.58 39.56
6700.0 -2.55 55.96
6700.0 -2.52 75.04
6700.0 -2.49 96.91
6700.0 -2.46 121.49
6700.0 -2.43 148.47
7000.0 -3.03 183.85
7000.0 -3.0 143.63
7000.0 -2.97 110.51
7000.0 -2.94 83.16
7000.0 -2.91 60.45
7000.0 -2.88 74.28
7000.0 -2.85 136.59
7000.0 -2.82 15.91
7000.0 -2.79 10.5
7000.0 -2.76 17.35
7000.0 -2.73 1.9
7000.0 -2.7 4.2
7000.0 -2.67 9.66
7000.0 -2.64 15.79
7000.0 -2.61 26.22
7000.0 -2.58 39.54
7000.0 -2.55 55.96
7000.0 -2.52 75.05
7000.0 -2.49 136.79
7000.0 -2.46 121.53
7000.0 -2.43 148.44
